score,total_pnl,max_drawdown,sharpe,win_rate,profit_factor,trade_count,avg_trade_minutes,max_trade_minutes,n_orders,tp_pct,step_min,step_max,step_mode,size_min,size_max,size_mode
0.100036,285.4067,93.4228,19.9612,100.0,285406714291.8399,475,5028.8,268610.0,29,3.0,3.14,9.21,random,12.54,56.43,linear_increase
0.099976,1384.3802,438.1949,21.1628,100.0,1384380185511.2207,1049,2276.0,267827.0,33,2.5,0.46,3.95,random,17.87,42.73,linear_increase
0.099883,142.631,67.4723,12.791,100.0,142630961299.1594,886,2695.3,101850.0,30,2.8,4.76,7.18,random,2.15,64.52,pyramid
0.09981,471.7371,152.6869,20.0383,100.0,471737072234.2256,610,3907.5,268631.0,34,2.8,6.4,7.5,linear,14.14,43.24,random
0.099792,237.7085,77.3514,14.0714,100.0,237708534520.2328,1147,2081.5,101590.0,31,2.6,4.42,4.73,front_heavy,2.81,63.67,pyramid
0.099368,231.2851,64.6474,19.6488,100.0,231285142431.7208,429,5567.7,268611.0,32,3.5,5.66,8.1,linear,8.9,74.58,geometric_increase
0.099149,1423.8361,778.7048,11.571,100.0,1423836149571.386,217,10595.2,1269677.0,34,5.0,1.27,4.27,back_heavy,13.84,44.98,pyramid
0.098928,99.7561,40.4839,14.2305,100.0,99756088618.7413,474,5028.5,159681.0,34,3.5,6.37,6.88,front_heavy,3.13,55.69,linear_increase
0.098609,414.3979,155.2506,14.6525,100.0,414397887060.5954,577,4130.9,267792.0,29,3.5,3.96,4.53,geometric,8.03,60.93,linear_increase
0.098502,500.1267,189.3668,48.451,100.0,500126746891.2893,1055,2264.2,161334.0,29,1.15,5.99,7.26,geometric,6.49,69.3,random
0.097973,227.1037,94.8201,18.4097,100.0,227103650611.9151,712,3354.7,161514.0,35,2.5,5.83,6.7,geometric,7.67,50.7,pyramid
0.097728,1301.9606,783.9634,15.3021,100.0,1301960554863.453,158,13831.5,1596470.0,30,4.0,0.78,3.67,linear,33.33,33.33,flat
0.097641,324.6301,98.9542,21.1588,100.0,324630123017.6453,514,4645.0,267833.0,32,2.9,5.45,5.47,geometric,13.48,59.74,geometric_increase
0.097532,497.2968,153.0521,29.621,100.0,497296841915.0552,635,3761.7,268610.0,35,2.1,6.12,6.58,geometric,28.57,28.57,flat
0.097175,297.6558,178.5211,13.9194,100.0,297655751664.9177,814,2934.5,162412.0,29,2.5,1.7,7.44,random,6.92,64.02,pyramid
0.097104,384.0777,125.8639,30.8977,100.0,384077654241.3927,559,4271.0,268608.0,35,2.0,6.6,8.18,random,28.57,28.57,flat
0.097096,142.6453,61.8919,25.0292,100.0,142645286123.0911,1166,2048.0,78499.0,30,1.65,6.81,8.79,linear,5.52,61.14,pyramid
0.097073,1362.5474,662.0318,14.0374,100.0,1362547428575.4336,225,10424.8,1235084.0,29,5.0,2.26,4.99,back_heavy,12.89,57.73,random
0.096748,1416.1238,353.4869,20.3791,100.0,1416123769461.6091,1079,2213.8,267837.0,34,3.0,0.26,5.08,linear,1.05,57.77,linear_increase
0.096703,1303.566,482.6195,30.0757,100.0,1303565988012.0305,1035,2306.8,267834.0,30,1.65,1.63,2.81,front_heavy,2.91,59.83,random
0.096604,391.6417,137.3148,32.0488,100.0,391641679151.4898,562,4218.6,268608.0,32,1.9,4.55,7.86,front_heavy,31.25,31.25,flat
0.096538,1222.1475,406.2251,18.0972,100.0,1222147452546.2727,1003,2380.4,267837.0,30,2.8,2.36,5.31,back_heavy,13.49,53.17,pyramid
